TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DYNAMODB,IN_P_INCENTIVE_PROCESSING_SCHEDULE,OPTICAL_POWER,NUMBER,12
DYNAMODB,LOST_DEVICE_HISTORY,DEVICE_ID,TEXT,1
DYNAMODB,PARTNER_BONUS_DISBURSEMENT,DEVICE_ID,TEXT,10
DYNAMODB,PARTNER_DEVICE_BONUS_DISBURSEMENT,DEVICE_ID,TEXT,10
DYNAMODB,PARTNER_TAX_DETAILS,ROUTER_RENT,NUMBER,9
DYNAMODB,PARTNER_TAX_DETAILS,DEVICE_ID,TEXT,11
DYNAMODB,PARTNER_WORK_BONUS_DISBURSEMENT,DEVICE_ID,TEXT,10
DYNAMODB,ROUTER_OPERATION,DEVICE_ID,TEXT,1
DYNAMODB,ROUTER_OPERATION,TICKS,NUMBER,2
DYNAMODB,ROUTER_OPERATION,_FIVETRAN_SYNCED,TIMESTAMP_TZ,3
DYNAMODB,ROUTER_OPERATION,DATA,VARIANT,4
DYNAMODB,ROUTER_OPERATION,_FIVETRAN_DELETED,BOOLEAN,5
DYNAMODB,ROUTER_OPERATION,OPERATION_TYPE,NUMBER,6
DYNAMODB,ROUTER_OPERATION,OPERATION_PARAMETER,TEXT,7
DYNAMODB,ROUTER_OPERATION,OPERATION_PUBLISH_TIME,TIMESTAMP_TZ,8
DYNAMODB,ROUTER_OPERATION,OPERATION_EXPIRY_TIME,TIMESTAMP_TZ,9
DYNAMODB,ROUTER_OPERATION,TTL,NUMBER,10
DYNAMODB,ROUTER_OPERATION,OPERATION_FINISH_TIME,TIMESTAMP_TZ,11
DYNAMODB,ROUTER_OPERATION,STATUS,NUMBER,12
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,ENTRY_UNIX_EPOCH_TIME,NUMBER,1
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,MOBILE,TEXT,2
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,_FIVETRAN_SYNCED,TIMESTAMP_TZ,3
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,DATA,VARIANT,4
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,_FIVETRAN_DELETED,BOOLEAN,5
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,TRANSACTION_ID,TEXT,6
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,CREATED_TIME,TIMESTAMP_TZ,7
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,FIRST_RECHARGE_TIME,TIMESTAMP_TZ,8
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,PAYMENT_MODE,TEXT,9
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,PLAN_START_TIME,TIMESTAMP_TZ,10
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,DATA_LIMIT,NUMBER,11
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,DEVICE_LIMIT,NUMBER,12
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,OTP,TEXT,14
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,SOURCE,TEXT,15
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,LCO_ACCOUNT_ID,NUMBER,16
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,CASH_FEE,NUMBER,18
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,ENTRY_DATE,TIMESTAMP_TZ,19
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,CHARGES,NUMBER,21
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,TIME_PLAN,NUMBER,23
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,LONG_SECONDARY_NAS,NUMBER,24
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,NAS_ID,NUMBER,25
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,SPEED_MBPS,NUMBER,26
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,PLAN_ID,NUMBER,27
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,PLAN_END_TIME,TIMESTAMP_TZ,28
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,STATUS,TEXT,29
DYNAMODB,SECONDARY_SIGNAL_ROUTER_PLAN_INFO,CONNECTION,TEXT,31
